order_id,order_value,category,customer_type,customer_order_count,payment_method,delivery_pincode_risk_tier,discount_percent,order_hour,day_of_week,returned_or_disputed
ORD102215,8446,electronics,returning,8,wallet,low,15,14,Sat,0
ORD102582,5712,electronics,new,0,wallet,high,4,14,Mon,0
ORD101662,330,beauty,returning,7,card,high,5,15,Sun,0
ORD103027,495,grocery,new,0,UPI,low,2,16,Thu,0
ORD104343,1349,apparel,new,0,UPI,low,11,20,Sat,0
ORD102680,965,beauty,new,0,card,medium,3,5,Tue,0
ORD101765,24517,electronics,returning,8,card,high,35,4,Sun,0
ORD101123,24635,electronics,new,0,COD,low,24,4,Tue,0
ORD104054,1338,beauty,returning,9,card,medium,23,22,Fri,0
ORD101535,1360,apparel,returning,8,netbanking,medium,1,7,Sat,0
ORD102944,1687,apparel,returning,9,card,low,12,7,Sun,0
ORD102987,4781,home,returning,11,UPI,low,27,19,Mon,0
ORD104291,5738,electronics,returning,7,UPI,low,6,18,Mon,0
ORD104424,2416,home,returning,2,card,low,42,6,Sat,0
ORD107941,1767,apparel,new,0,COD,low,6,20,Mon,1
ORD104997,3072,apparel,new,0,card,low,4,8,Mon,0
ORD102302,1271,apparel,returning,12,UPI,medium,5,14,Sat,0
ORD103932,4260,home,new,0,UPI,medium,2,9,Tue,0
ORD105956,1689,home,returning,9,UPI,high,3,12,Fri,0
ORD106131,2370,home,returning,10,card,medium,4,22,Wed,0
ORD107596,2464,apparel,new,0,UPI,medium,18,19,Wed,0
ORD100794,9183,electronics,new,0,netbanking,high,11,5,Sun,0
ORD103163,712,beauty,returning,4,wallet,medium,30,6,Fri,0
ORD103181,3615,apparel,returning,7,UPI,low,3,18,Thu,0
ORD100763,6031,electronics,returning,11,card,low,8,17,Thu,0
ORD103078,1072,home,new,0,COD,medium,2,23,Wed,1
ORD100811,38950,electronics,returning,5,COD,medium,3,18,Sun,0
ORD107259,4846,electronics,returning,10,card,medium,19,8,Tue,0
ORD106931,1400,beauty,new,0,UPI,medium,44,21,Fri,0
ORD101618,412,grocery,returning,5,wallet,high,11,22,Wed,0
ORD105318,1164,apparel,returning,11,netbanking,low,6,6,Sun,0
ORD104794,493,apparel,returning,7,card,low,1,10,Wed,0
ORD100487,758,apparel,returning,8,card,low,8,13,Sun,0
ORD101017,1291,beauty,new,0,card,medium,10,18,Sun,0
ORD102716,4332,home,returning,13,card,medium,11,20,Fri,0
ORD102929,864,beauty,new,0,card,medium,8,17,Wed,0
ORD103362,4677,home,new,0,card,medium,6,13,Fri,0
ORD105165,231,beauty,returning,9,UPI,low,1,17,Mon,0
ORD101075,1536,apparel,returning,2,UPI,medium,9,22,Tue,1
ORD106398,4501,home,new,0,wallet,low,8,15,Sun,1
ORD104981,4003,apparel,new,0,card,high,12,22,Fri,0
ORD106228,759,apparel,returning,2,card,low,1,1,Tue,0
ORD102921,17583,electronics,returning,12,netbanking,low,3,4,Sun,0
ORD104019,785,beauty,returning,7,card,low,9,0,Fri,0
ORD104331,542,grocery,returning,3,COD,high,4,18,Tue,0
ORD101322,8645,electronics,returning,11,card,low,5,13,Mon,1
ORD107731,1452,apparel,returning,7,UPI,low,17,3,Sat,0
ORD102252,1527,apparel,new,0,wallet,low,35,21,Sat,0
ORD106654,2659,home,returning,7,UPI,low,6,1,Fri,0
ORD107244,837,apparel,new,0,COD,low,4,13,Mon,0
ORD100866,736,grocery,returning,8,card,low,13,10,Fri,0
ORD102465,1274,beauty,returning,6,UPI,low,35,20,Wed,0
ORD102882,3727,home,new,0,COD,medium,18,23,Tue,0
ORD104961,13808,electronics,returning,7,card,low,42,19,Fri,0
ORD107042,11330,electronics,returning,11,COD,low,11,23,Thu,0
ORD106240,1530,home,new,0,UPI,medium,18,20,Thu,0
ORD105447,1999,apparel,new,0,UPI,medium,6,14,Fri,0
ORD101502,1403,apparel,returning,6,UPI,low,19,13,Mon,1
ORD103915,2166,apparel,new,0,COD,low,18,20,Thu,0
ORD100263,10368,electronics,new,0,netbanking,medium,7,8,Thu,0
ORD103806,1189,home,new,0,UPI,medium,8,15,Tue,0
ORD104084,2663,home,returning,8,COD,medium,19,11,Thu,0
ORD107839,1912,apparel,new,0,UPI,medium,6,15,Sat,1
ORD101811,1735,apparel,new,0,card,low,10,4,Sun,1
ORD101144,587,apparel,new,0,netbanking,medium,13,3,Tue,0
ORD105827,690,apparel,returning,8,UPI,low,11,14,Tue,1
ORD102149,16477,electronics,returning,6,COD,low,11,23,Sat,0
ORD103290,1883,apparel,returning,6,UPI,medium,0,12,Thu,0
ORD100682,39221,electronics,returning,8,COD,low,7,4,Tue,0
ORD102840,294,beauty,new,0,COD,low,23,18,Thu,0
ORD101002,8615,electronics,returning,6,COD,medium,44,10,Tue,1
ORD106755,8633,electronics,returning,11,UPI,medium,15,12,Sun,0
ORD105129,894,grocery,returning,6,UPI,low,8,12,Sat,0
ORD104290,16590,electronics,new,0,UPI,medium,22,3,Thu,0
ORD102173,8412,electronics,returning,7,UPI,high,6,4,Sun,0
ORD103813,9911,electronics,returning,10,wallet,medium,19,0,Thu,1
ORD104414,2406,apparel,returning,5,UPI,medium,6,12,Thu,0
ORD100518,7169,electronics,new,0,wallet,medium,13,6,Sat,0
ORD106988,12222,electronics,new,0,card,high,3,5,Fri,1
ORD100696,865,beauty,new,0,card,low,6,2,Tue,0
ORD106317,774,beauty,returning,4,UPI,low,3,19,Sat,0
ORD102770,15748,electronics,returning,8,card,high,10,6,Sun,0
ORD101074,1695,grocery,returning,4,UPI,low,2,11,Fri,0
ORD101339,1284,apparel,returning,11,UPI,low,5,0,Sat,0
ORD102986,9996,electronics,returning,7,card,low,34,10,Wed,0
ORD107709,6444,home,returning,9,COD,medium,36,20,Thu,0
ORD104421,14750,electronics,returning,10,UPI,low,2,7,Thu,0
ORD103392,1081,grocery,returning,6,COD,low,21,2,Thu,0
ORD101483,3799,apparel,returning,11,card,high,35,16,Tue,0
ORD104861,545,grocery,returning,4,card,high,29,17,Mon,0
ORD101934,1784,beauty,new,0,UPI,high,7,1,Tue,1
ORD101034,2092,apparel,returning,12,UPI,high,7,10,Tue,0
ORD102478,797,apparel,new,0,UPI,low,20,4,Wed,1
ORD100349,4989,electronics,new,0,COD,low,6,14,Wed,0
ORD104352,3272,home,returning,11,card,low,13,20,Tue,0
ORD107557,1303,apparel,returning,6,wallet,low,10,0,Sat,0
ORD101061,3616,home,new,0,netbanking,low,2,23,Thu,1
ORD100879,5532,home,new,0,card,low,0,5,Fri,0
ORD106423,3837,beauty,returning,10,UPI,low,3,17,Thu,0
ORD106744,12636,electronics,new,0,card,medium,12,3,Mon,0
ORD101850,6000,apparel,returning,9,UPI,low,10,7,Sat,0
ORD101677,1709,apparel,new,0,card,low,7,10,Tue,0
ORD107111,2476,home,returning,6,COD,high,1,16,Sun,0
ORD104704,15924,electronics,returning,7,card,low,7,7,Tue,0
ORD105199,2490,home,new,0,UPI,low,80,4,Tue,1
ORD100457,3528,apparel,new,0,UPI,medium,1,6,Wed,0
ORD104647,28639,electronics,returning,4,COD,high,46,23,Fri,0
ORD106507,6154,electronics,returning,7,UPI,high,6,15,Sun,1
ORD103182,1231,apparel,returning,5,COD,low,6,9,Tue,0
ORD105337,3118,home,returning,4,card,low,29,1,Mon,0
ORD106124,8654,electronics,new,0,card,low,11,0,Sat,0
ORD103263,2570,apparel,new,0,card,low,3,2,Thu,0
ORD106522,4172,electronics,returning,9,COD,medium,7,3,Sun,0
ORD106521,2527,apparel,new,0,wallet,medium,5,3,Thu,0
ORD106702,1419,grocery,returning,10,wallet,low,17,9,Fri,0
ORD102988,12128,electronics,returning,7,card,high,10,12,Thu,0
ORD101550,5057,electronics,returning,7,COD,low,31,18,Sun,0
