threshold,expected_cost,precision,recall,flag_rate
0.01,1361803.2,0.0993,1.0,1.0
0.02,1361803.2,0.0993,1.0,1.0
0.03,1361803.2,0.0993,1.0,1.0
0.04,1361803.2,0.0993,1.0,1.0
0.05,1361803.2,0.0993,1.0,1.0
0.06,1361803.2,0.0993,1.0,1.0
0.07,1361803.2,0.0993,1.0,1.0
0.08,1361803.2,0.0993,1.0,1.0
0.09,1361803.2,0.0993,1.0,1.0
0.1,1361803.2,0.0993,1.0,1.0
0.11,1361803.2,0.0993,1.0,1.0
0.12,1361803.2,0.0993,1.0,1.0
0.13,1361648.88,0.0993,1.0,0.9992
0.14,1360883.6,0.0996,1.0,0.9967
0.15,1359289.2,0.1001,1.0,0.9917
0.16,1357296.56,0.1009,1.0,0.9837
0.17,1354988.32,0.1018,1.0,0.975
0.18,1352413.68,0.1028,1.0,0.9657
0.19,1350083.52,0.1037,1.0,0.9575
0.2,1347873.84,0.1045,1.0,0.9497
0.21,1346180.08,0.1049,0.9975,0.9437
0.22,1343551.68,0.1053,0.995,0.9377
0.23,1338637.24,0.1061,0.9924,0.9285
0.24,1331702.28,0.1073,0.9899,0.9157
0.25,1324601.0,0.1088,0.9874,0.901
0.26,1316083.36,0.1096,0.9773,0.885
0.27,1307772.0,0.1113,0.9748,0.8697
0.28,1298541.92,0.1125,0.9698,0.8555
0.29,1287643.36,0.1145,0.9698,0.8407
0.3,1274311.88,0.1169,0.9673,0.8217
0.31,1265465.32,0.1185,0.9647,0.8085
0.32,1254871.4,0.1206,0.9647,0.7942
0.33,1241989.0,0.1226,0.9597,0.7769
0.34,1228335.6,0.1249,0.9547,0.7587
0.35,1214864.12,0.1265,0.9421,0.7392
0.36,1201005.84,0.1284,0.932,0.7204
0.37,1175073.0,0.1316,0.9194,0.6934
0.38,1146508.24,0.1347,0.9043,0.6664
0.39,1101659.44,0.1406,0.8992,0.6352
0.4,1048870.6,0.1472,0.8942,0.6032
0.41,975778.68,0.1551,0.8816,0.5641
0.42,929000.96,0.1605,0.8539,0.5281
0.43,871797.4,0.1691,0.8338,0.4896
0.44,828412.2,0.1733,0.806,0.4616
0.45,780233.16,0.1792,0.7783,0.4311
0.46,742869.0,0.1818,0.7481,0.4086
0.47,712148.0,0.1899,0.7355,0.3846
0.48,675188.2,0.197,0.728,0.3668
0.49,648185.44,0.2012,0.6977,0.3443
0.5,611890.84,0.2084,0.6725,0.3203
0.51,597012.68,0.2111,0.6423,0.3021
0.52,572851.84,0.2222,0.6146,0.2746
0.53,543438.32,0.2241,0.5718,0.2533
0.54,529770.72,0.2309,0.5491,0.2361
0.55,507745.24,0.2375,0.5264,0.2201
0.56,491016.64,0.243,0.5038,0.2058
0.57,468010.28,0.2523,0.4912,0.1933
0.58,451162.56,0.2595,0.466,0.1783
0.59,436365.16,0.2682,0.4458,0.165
0.6,426015.04,0.2682,0.4081,0.151
0.61,419017.68,0.2795,0.3879,0.1378
0.62,405229.4,0.2871,0.3652,0.1263
0.63,396552.52,0.3009,0.3426,0.113
0.64,386948.04,0.3167,0.3199,0.1003
0.65,379276.28,0.3203,0.2897,0.0898
0.66,372092.76,0.3253,0.272,0.083
0.67,360076.24,0.34,0.2569,0.075
0.68,355747.32,0.3546,0.2519,0.0705
0.69,349966.28,0.3729,0.2217,0.059
0.7,348210.32,0.3676,0.1889,0.051
0.71,343632.36,0.3886,0.1713,0.0438
0.72,338453.4,0.411,0.1511,0.0365
0.73,324283.84,0.4333,0.131,0.03
0.74,324720.88,0.4455,0.1134,0.0253
0.75,319677.56,0.4819,0.1008,0.0208
0.76,325430.68,0.4714,0.0831,0.0175
0.77,328850.24,0.4821,0.068,0.014
0.78,334607.96,0.4878,0.0504,0.0103
0.79,346034.36,0.4483,0.0327,0.0073
0.8,341534.24,0.4737,0.0227,0.0048
0.81,342769.16,0.4615,0.0151,0.0033
0.82,343113.88,0.4,0.0101,0.0025
0.83,349461.28,0.1667,0.0025,0.0015
0.84,350733.52,0.0,0.0,0.0013
0.85,348773.12,0.0,0.0,0.001
0.86,348057.68,0.0,0.0,0.0008
0.87,347149.44,0.0,0.0,0.0005
0.88,345299.52,0.0,0.0,0.0
0.89,345299.52,0.0,0.0,0.0
0.9,345299.52,0.0,0.0,0.0
0.91,345299.52,0.0,0.0,0.0
0.92,345299.52,0.0,0.0,0.0
0.93,345299.52,0.0,0.0,0.0
0.94,345299.52,0.0,0.0,0.0
0.95,345299.52,0.0,0.0,0.0
0.96,345299.52,0.0,0.0,0.0
0.97,345299.52,0.0,0.0,0.0
0.98,345299.52,0.0,0.0,0.0
0.99,345299.52,0.0,0.0,0.0
